指标,Avg,HanClouds,CosmoPlat,Cloud-iip,YongYou,RootCloud,Indics,In-Cloud,FusionPlant,Beacon,supET,Xrea,MindSphere,PTC
设备（万）,69,17,71,75,57,58,79,145,,68,14,76,100+,
工业协议,125,101,数百种,,,400+,,,,,,>95%,,
机理模型,1100,231,1539,1450,1050,639,390000,2445,,477,40,474,,
APP,2124,1359,2379,2329,1949,1304,2072,3528,,1228,450,1542,,
开发者,3800,5000,5336,6500,5112,3280,2030,88000,,3011,19000,3113,,
用户（万）,50,1,6.3,22,46,5.4,35.5,75,,11,0.1,13.5/60,,
企业,,3748,40000+,上千家,,,,,,,,1000+,1000+,2000
行业,,16,15,20+,39,61,,,,,,25,,
领域,,9,11,,18,,7,,,,,9,,
区域,,,11,,5,6,7,,2,,,7,57,
国家,,,20,50,,,2,,,,,,17,
